ID,EMP,EMP_DENS,AREA_KM,X,Y
435,1027,801.532615,1.281295,236300.9506,8163614.236
436,1532,505.275768,3.032008,241587.0287,8170317.392
437,8706,2778.571823,3.133264,239873.8791,8161949.427
438,811,851.44706,0.952496,238387.3129,8162095.561
439,1076,1181.269972,0.910884,226360.4676,8161710.447
440,1194,4591.722159,0.260033,233622.0788,8148645.561
441,290,442.951988,0.654698,247617.7857,8158452.816
442,353,653.160729,0.540449,255803.0472,8144926.929
443,59,59.439583,0.992605,233251.0234,8137447.677
444,481,527.369737,0.912074,255717.2181,8142502.693
445,621,641.745261,0.967674,242757.0294,8143057.932
446,442,1090.142253,0.405452,242162.0643,8162497.442
447,158,321.853534,0.490907,244048.6954,8163501.544
448,908,930.599061,0.975716,224484.3975,8148983.162
449,2458,1881.266034,1.306567,241189.0261,8139824.736
450,1054,432.335952,2.437919,222946.3061,8153735.484
451,1166,511.11181,2.281301,229017.7071,8170275.583
452,306,166.520615,1.83761,249165.1478,8153349.472
453,34,17.660473,1.925203,224697.4237,8173534.869
454,844,786.509625,1.073096,332552.6257,8228642.637
455,109,242.51552,0.449456,247577.4787,8154403.012
456,166,305.911776,0.54264,247003.4551,8153658.82
457,793,292.322951,2.712753,336171.4722,8231534.021
458,35,142.800316,0.245097,240375.8262,8149085.592
459,1085,1091.085006,0.994423,226636.9942,8163357.488
460,479,867.448477,0.552194,228530.2255,8151742.757
461,842,793.691523,1.060866,236681.8443,8142714.032
462,340,415.305166,0.818675,233499.0292,8162044.491
463,428,1356.44847,0.31553,241668.537,8160128.486
464,599,1343.219289,0.445944,231931.3617,8159278.013
465,127,749.213198,0.169511,242184.3283,8161721.286
466,11,71.750473,0.153309,249477.0428,8161652.611
467,316,400.420569,0.78917,247578.4893,8155916.938
468,1043,2048.982524,0.509033,234212.6846,8154467.166
469,164,399.510654,0.410502,233248.0681,8160736.123
470,198,173.32178,1.142384,228276.6157,8140566.112
471,69,67.98944,1.014863,249054.4847,8154381.782
472,174,698.896314,0.248964,241075.4495,8161662.28
473,517,291.389969,1.774255,221356.2445,8157075.491
474,711,1448.271892,0.49093,247368.7135,8157630.158
475,171,758.060562,0.225576,246346.5826,8150104.204
476,82,179.022596,0.458043,230881.5873,8159301.319
477,14,21.03937,0.665419,287271.8073,8043234.125
478,765,1662.106012,0.460259,247250.5541,8150242.721
479,291,1447.366346,0.201055,241787.0652,8157827.486
480,104,219.842599,0.473066,249344.3025,8156106.798
481,127,626.235572,0.202799,247303.2281,8149664.08
482,1443,3107.867018,0.464306,238267.1742,8151172.92
483,1138,1445.67693,0.787174,234155.9207,8152222.787
484,599,897.586363,0.667345,245502.3474,8152367.754
485,106,106.413452,0.996115,236298.9293,8171960.071
486,178,494.182461,0.360191,231849.0773,8157607
487,1813,4849.329942,0.373866,238325.1239,8154212.141
,,,,237066.798,8152925.478
