ID,NAME,EMP,AREA_KM,EMP_DENS,X,Y
206011107,Brunswick West,1460,3.17889,459.279812,318772.0472,5818451.411
206011108,Coburg,7677,6.934526,1107.069178,320635.352,5820539.618
206011109,Pascoe Vale South,1018,2.99031,340.432932,318363.898,5820649.27
205051102,Rosedale,1300,968.455831,1.342343,481045.8948,5776794.94
205051103,Sale,7225,45.599565,158.444494,504932.5569,5782571.734
205051104,Yarram,1814,1931.858908,0.938992,478362.9975,5739313.207
206011105,Brunswick,11353,5.139898,2208.798696,320428.9999,5818140.901
206031114,Essendon - Aberfeldie,7750,8.443407,917.875924,315660.5708,5819792.027
206031115,Flemington,2523,1.580589,1596.240389,317796.8382,5816153.026
206031116,Moonee Ponds,7866,4.354166,1806.545731,316917.7444,5818154.7
206041117,Carlton,15656,1.819132,8606.302346,321086.3992,5814373.081
206021110,Alphington - Fairfield,3794,2.885132,1315.017822,326033.1557,5817370.768
206021111,Northcote,6130,6.147791,997.106115,323867.7839,5817573.877
206021112,Thornbury,4332,4.994469,867.359473,324383.7755,5819145.394
206031113,Ascot Vale,2312,3.838176,602.369459,316263.3619,5816879.692
206041122,Melbourne,221142,2.368525,93366.96889,320657.6385,5812907.856
206041123,North Melbourne,15259,3.249771,4695.407769,319195.2951,5814256.846
